sub,HelpSelf,HelpOther,SelfRew1,SelfRew2,SelfRew3,SelfRew4,SelfRew5,OtherRew1,OtherRew2,OtherRew3,OtherRew4,OtherRew5,SelfEff1,SelfEff2,SelfEff3,SelfEff4,SelfEff5,OtherEff1,OtherEff2,OtherEff3,OtherEff4,OtherEff5,WorkSelf,WorkOther
103,0.055555556,0.027777778,0.533333333,1,0.866666667,0.8,0.933333333,0.133333333,0.428571429,0.5,0.4,0.285714286,0.8,0.866666667,0.866666667,0.733333333,0.866666667,0.5,0.266666667,0.266666667,0.333333333,0.4,0.826666667,0.347222222
104,0.222222222,0.263888889,0.2,0.866666667,1,1,1,0,0.066666667,0.066666667,0.066666667,0,0.933333333,0.8,0.866666667,0.8,0.666666667,0.066666667,0,0,0.133333333,0,0.813333333,0.04
105,0.097222222,0.083333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,0.180555556,0.541666667,0.666666667,0.933333333,1,1,1,0.466666667,0.857142857,1,0.933333333,1,1,1,1,0.866666667,0.733333333,1,1,0.866666667,0.8,0.571428571,0.92,0.851351351
108,0.611111111,0.097222222,0.466666667,1,1,1,1,0,0.066666667,0,0,0,0.933333333,0.933333333,0.866666667,0.785714286,0.933333333,0.066666667,0,0,0,0,0.891891892,0.013333333
109,0.875,0.861111111,0.933333333,1,1,1,1,0.933333333,1,1,1,1,1,1,1,1,0.933333333,1,1,1,0.933333333,1,0.986666667,0.986666667
110,0.361111111,0.388888889,0,0.285714286,0.666666667,0.928571429,0.933333333,0.066666667,0.266666667,0.666666667,0.666666667,0.733333333,0.857142857,0.6,0.615384615,0.466666667,0.333333333,0.8,0.666666667,0.6,0.266666667,0.066666667,0.569444444,0.48
112,0,0.013888889,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0
113,0.125,0.436619718,0.2,0.8,1,1,1,0.2,0.666666667,0.769230769,0.933333333,1,0.933333333,0.866666667,0.8,0.733333333,0.666666667,0.933333333,0.866666667,0.733333333,0.571428571,0.428571429,0.8,0.712328767
114,0.152777778,0.611111111,0.8,0.933333333,1,1,1,0.785714286,0.933333333,1,1,1,1,1,1,0.933333333,0.8,1,1,1,0.933333333,0.8,0.946666667,0.945945946
116,0.444444444,0.5,0.8,0.866666667,1,0.933333333,1,0,0,0,0,0,1,1,1,1,0.6,0,0,0,0,0,0.92,0
119,0.013888889,0.013888889,0.933333333,1,1,1,1,0.066666667,0.133333333,0,0.066666667,0.133333333,1,1,1,1,0.933333333,0.333333333,0,0.066666667,0,0,0.986666667,0.081081081
121,0.263888889,0.375,0.866666667,1,0.933333333,1,1,0.6,0.733333333,0.733333333,0.8,0.733333333,1,1,1,1,0.8,1,1,1,0.466666667,0.133333333,0.96,0.72
124,0.680555556,0.666666667,0.4,0.6,0.866666667,0.866666667,1,0.066666667,0.266666667,0.2,0.333333333,0.333333333,1,0.933333333,0.866666667,0.466666667,0.466666667,0.8,0.4,0,0,0,0.746666667,0.24
125,0.194444444,0.791666667,0.533333333,0.8,0.866666667,1,0.933333333,0.466666667,0.8,0.8,0.733333333,0.8,1,1,0.933333333,0.666666667,0.533333333,1,0.933333333,0.933333333,0.533333333,0.2,0.826666667,0.72
128,0.486111111,0.513888889,0.866666667,0.933333333,1,1,1,0.733333333,0.6,0.6,0.6,0.666666667,1,1,1,1,0.8,1,1,1,0.2,0,0.96,0.64
129,0.208333333,0.180555556,0.8,0.866666667,0.866666667,0.866666667,0.866666667,0.666666667,0.8,0.933333333,0.866666667,0.8,1,1,1,1,0.266666667,1,1,1,0.8,0.266666667,0.853333333,0.813333333
130,0.319444444,0.444444444,0.6,0.8,0.866666667,0.933333333,0.933333333,0.266666667,0.533333333,0.6,0.733333333,0.866666667,1,1,1,0.666666667,0.466666667,1,0.8,0.6,0.4,0.2,0.826666667,0.6
131,0.777777778,0.819444444,0.4,0.666666667,0.8,0.866666667,0.933333333,0.133333333,0.733333333,0.666666667,0.733333333,0.8,1,0.933333333,0.866666667,0.6,0.266666667,0.866666667,0.866666667,0.8,0.466666667,0.066666667,0.733333333,0.613333333
132,0.347222222,0.236111111,0.8,0.933333333,1,0.866666667,1,0.533333333,0.533333333,0.6,0.333333333,0.666666667,1,1,1,1,0.6,0.933333333,0.866666667,0.733333333,0.133333333,0,0.92,0.533333333
133,0.194444444,0.652777778,0.8,0.933333333,1,1,1,0.266666667,0.466666667,0.733333333,0.733333333,0.933333333,1,1,1,1,0.733333333,1,0.866666667,0.666666667,0.266666667,0.333333333,0.946666667,0.626666667
134,0.361111111,0.583333333,0.733333333,0.8,0.733333333,0.866666667,1,0.533333333,0.666666667,0.266666667,0.6,0.533333333,1,1,0.866666667,0.857142857,0.4,0.733333333,0.8,0.533333333,0.4,0.133333333,0.824324324,0.52
135,0.069444444,0.347222222,0.6,1,1,1,1,0.533333333,1,1,1,1,1,1,0.933333333,0.866666667,0.8,1,1,0.866666667,0.857142857,0.785714286,0.92,0.904109589
136,0.361111111,0.361111111,0.333333333,0.866666667,1,1,1,0.133333333,0.266666667,0.6,0.933333333,1,1,0.933333333,0.8,0.8,0.666666667,0.866666667,0.666666667,0.466666667,0.466666667,0.466666667,0.84,0.586666667
138,0.472222222,0.305555556,0.8,1,1,1,1,0.333333333,0.266666667,0.428571429,0.266666667,0.4,1,1,1,0.933333333,0.866666667,1,0.666666667,0,0,0,0.96,0.337837838
139,0.638888889,0.611111111,0.333333333,0.733333333,0.733333333,0.733333333,0.933333333,0.066666667,0.066666667,0.2,0.266666667,0.266666667,0.933333333,0.933333333,0.8,0.666666667,0.133333333,0.6,0.266666667,0,0,0,0.693333333,0.173333333
140,0.222222222,0.347222222,0.4,0.6,0.8,0.866666667,1,0.266666667,0.533333333,0.666666667,0.8,1,0.933333333,1,0.733333333,0.466666667,0.533333333,0.933333333,0.866666667,0.666666667,0.466666667,0.333333333,0.733333333,0.653333333
141,0.25,0.236111111,0.6,0.933333333,1,0.933333333,1,0.4,0.785714286,0.866666667,0.866666667,0.866666667,1,1,1,0.8,0.666666667,1,0.933333333,0.866666667,0.733333333,0.266666667,0.893333333,0.756756757
142,0,0,0.2,0.357142857,0.2,0.533333333,0.6,0.071428571,0.4,0.533333333,0.533333333,0.266666667,0.466666667,0.4,0.466666667,0.2,0.357142857,0.4,0.5,0.4,0.333333333,0.2,0.378378378,0.364864865
143,0.236111111,1,0.266666667,0.6,0.666666667,1,1,0,0.466666667,0.333333333,0.333333333,0.4,0.933333333,0.933333333,0.8,0.4,0.466666667,0.733333333,0.6,0.2,0,0,0.706666667,0.306666667
144,0.291666667,0.402777778,0.533333333,0.666666667,0.733333333,0.8,0.8,0.666666667,0.8,0.733333333,0.8,0.8,1,1,0.933333333,0.6,0,1,1,1,0.8,0,0.706666667,0.76
145,0.236111111,0.236111111,0.8,1,0.933333333,1,1,0.666666667,0.866666667,0.933333333,0.933333333,0.866666667,1,1,1,1,0.733333333,1,1,1,0.733333333,0.533333333,0.946666667,0.853333333
146,0,0.375,0.666666667,0.666666667,0.733333333,0.8,1,0.533333333,0.6,0.533333333,0.733333333,0.733333333,1,1,0.933333333,0.733333333,0.2,1,1,0.8,0.333333333,0,0.773333333,0.626666667
147,0.291666667,0.541666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,0.597222222,0.722222222,0.733333333,0.933333333,0.933333333,0.933333333,1,0.333333333,0.4,0.4,0.533333333,0.333333333,1,1,1,0.866666667,0.666666667,0.666666667,0.666666667,0.333333333,0.133333333,0.2,0.906666667,0.4
149,0.458333333,0.416666667,0.071428571,0.4,0.6,0.866666667,1,0.2,0.266666667,0.2,0.333333333,0.266666667,0.866666667,0.733333333,0.714285714,0.4,0.266666667,0.666666667,0.2,0.2,0.066666667,0.133333333,0.594594595,0.253333333
150,0.305555556,0.458333333,0.933333333,1,0.933333333,1,1,0.133333333,0.066666667,0.066666667,0.133333333,0.066666667,1,1,0.933333333,1,0.933333333,0.333333333,0.066666667,0.066666667,0,0,0.973333333,0.093333333
151,0.236111111,0.305555556,0.8,1,1,1,1,0.666666667,0.866666667,0.933333333,1,1,1,1,1,0.933333333,0.866666667,1,1,1,0.866666667,0.6,0.96,0.893333333
152,0.402777778,0.319444444,0.2,0.466666667,0.666666667,0.8,0.933333333,0,0.466666667,0.6,0.6,0.933333333,0.866666667,0.933333333,0.6,0.533333333,0.133333333,0.733333333,0.8,0.785714286,0.2,0.133333333,0.613333333,0.527027027
153,0.194444444,0.277777778,0.133333333,0.642857143,0.866666667,1,1,0.133333333,0.466666667,0.533333333,1,1,0.933333333,0.8,0.666666667,0.642857143,0.6,0.866666667,0.866666667,0.533333333,0.4,0.466666667,0.72972973,0.626666667
154,0.375,0.347222222,0.666666667,1,0.933333333,1,1,0.4,0.533333333,0.733333333,0.4,0.533333333,1,1,1,0.866666667,0.733333333,0.933333333,0.866666667,0.4,0.2,0.2,0.92,0.52
156,0.166666667,0.527777778,0.466666667,0.666666667,0.8,0.8,1,0.2,0.428571429,0.333333333,0.466666667,0.4,1,1,0.733333333,0.6,0.4,0.714285714,0.733333333,0.4,0,0,0.746666667,0.364864865
157,0.263888889,0.236111111,0.6,1,1,1,0.933333333,0.2,0.266666667,0.533333333,0.4,0.466666667,1,0.933333333,0.866666667,0.933333333,0.8,0.866666667,0.733333333,0,0.066666667,0.2,0.906666667,0.373333333
158,0.402777778,0.263888889,1,0.933333333,0.933333333,1,1,0.333333333,0.466666667,0.466666667,0.5,0.533333333,1,1,1,1,0.866666667,1,0.866666667,0.333333333,0,0.066666667,0.973333333,0.459459459
159,0.194444444,0.152777778,0.866666667,1,1,1,1,0.4,0.666666667,0.666666667,0.8,0.733333333,1,1,0.933333333,0.933333333,1,0.933333333,0.933333333,0.666666667,0.466666667,0.266666667,0.973333333,0.653333333
160,0.180555556,0.236111111,0.666666667,0.8,1,1,1,0.4,0.533333333,0.8,1,1,1,1,0.866666667,0.8,0.8,0.933333333,1,0.733333333,0.6,0.466666667,0.893333333,0.746666667
161,0.125,0.083333333,0.533333333,0.8,1,1,1,0.466666667,0.6,0.4,0.4,0.533333333,1,1,0.933333333,0.666666667,0.733333333,1,1,0.4,0,0,0.866666667,0.48
162,0.055555556,0.111111111,0.466666667,0.733333333,0.866666667,0.933333333,0.933333333,0,0,0,0,0.066666667,0.8,1,0.866666667,0.8,0.466666667,0.066666667,0,0,0,0,0.786666667,0.013333333
163,0.152777778,1,0.466666667,0.533333333,0.6,0.8,0.8,0.333333333,0.333333333,0.4,0.4,0.733333333,1,1,0.6,0.533333333,0.066666667,0.933333333,0.866666667,0.2,0.2,0,0.64,0.44
164,0.305555556,0.347222222,0.6,0.8,1,0.928571429,1,0.266666667,0.333333333,0.4,0.333333333,0.5,1,1,0.933333333,0.8,0.6,1,0.714285714,0.133333333,0,0,0.864864865,0.364864865
166,0.180555556,0.263888889,0.533333333,0.733333333,0.866666667,0.933333333,0.933333333,0.6,0.733333333,0.8,0.933333333,0.866666667,1,1,0.933333333,0.466666667,0.6,0.933333333,1,1,0.666666667,0.333333333,0.8,0.786666667
167,0.166666667,0.138888889,0.733333333,1,1,1,1,0.2,0.666666667,0.857142857,0.857142857,0.933333333,1,1,1,0.933333333,0.8,0.933333333,0.866666667,0.733333333,0.571428571,0.357142857,0.946666667,0.698630137
172,0.513888889,0.597222222,0.466666667,0.733333333,0.6,0.733333333,0.8,0.333333333,0.6,0.666666667,0.8,0.8,1,1,0.8,0.533333333,0,1,0.933333333,0.733333333,0.466666667,0.066666667,0.666666667,0.64
173,0.361111111,0.486111111,0.6,0.666666667,0.733333333,0.933333333,1,0.333333333,0.6,0.6,0.733333333,0.933333333,1,1,0.933333333,0.666666667,0.333333333,1,0.933333333,0.666666667,0.4,0.2,0.786666667,0.64
176,0.069444444,0.708333333,0.533333333,0.666666667,0.8,1,1,0.333333333,0.642857143,0.866666667,0.866666667,0.933333333,1,1,0.866666667,0.666666667,0.428571429,1,0.933333333,0.8,0.6,0.333333333,0.797297297,0.72972973
177,0.125,0.138888889,1,0.866666667,0.933333333,0.8,1,0.8,0.933333333,0.8,0.933333333,1,1,0.866666667,1,0.933333333,0.8,1,1,1,0.933333333,0.533333333,0.92,0.893333333
178,0.291666667,0.347222222,0.466666667,0.533333333,0.533333333,0.6,0.6,0.533333333,0.4,0.6,0.533333333,0.6,1,1,0.733333333,0,0,0.933333333,1,0.733333333,0,0,0.546666667,0.533333333
179,0.555555556,0.625,0.4,0.6,0.666666667,1,1,0.266666667,0.6,0.666666667,0.866666667,1,1,1,0.8,0.466666667,0.4,1,0.866666667,0.8,0.4,0.333333333,0.733333333,0.68
180,0.013888889,0.111111111,1,0.933333333,1,1,0.933333333,0,0.133333333,0.133333333,0.2,0.2,1,0.866666667,1,1,1,0.466666667,0.2,0,0,0,0.973333333,0.133333333
181,0.083333333,0.041666667,0.666666667,0.8,0.933333333,0.933333333,0.933333333,0.2,0,0.2,0.266666667,0.133333333,1,0.933333333,0.933333333,0.6,0.8,0.4,0.133333333,0.066666667,0,0.2,0.853333333,0.16
182,0.111111111,0.138888889,0.2,0.533333333,0.866666667,0.933333333,1,0,0.066666667,0.066666667,0.133333333,0.066666667,1,0.8,0.666666667,0.666666667,0.4,0.2,0,0,0.066666667,0.066666667,0.706666667,0.066666667
183,0.236111111,0.194444444,0.466666667,0.6,0.533333333,0.6,0.6,0.333333333,0.266666667,0.333333333,0.4,0.4,1,1,0.8,0,0,1,0.666666667,0.066666667,0,0,0.56,0.346666667
184,0.027777778,0.138888889,0.733333333,0.933333333,1,1,1,0.333333333,0.466666667,0.666666667,0.866666667,0.866666667,1,1,1,0.866666667,0.8,0.8,0.8,0.666666667,0.533333333,0.4,0.933333333,0.64
188,0.138888889,0.208333333,0.333333333,0.6,0.933333333,1,1,0.4,0.538461538,0.666666667,0.8,0.866666667,1,0.933333333,0.8,0.6,0.533333333,1,0.933333333,0.785714286,0.333333333,0.266666667,0.773333333,0.657534247
189,0.125,0.25,0.733333333,0.933333333,1,1,1,0.733333333,0.866666667,0.8,0.933333333,1,1,1,1,0.866666667,0.8,1,1,1,0.733333333,0.6,0.933333333,0.866666667
194,0.472222222,0.527777778,0.066666667,0.214285714,0.8,0.866666667,1,0.133333333,0.285714286,0.666666667,0.866666667,1,0.666666667,0.666666667,0.666666667,0.571428571,0.4,0.642857143,0.733333333,0.733333333,0.533333333,0.333333333,0.594594595,0.594594595
