"","ID_check","GRUPO","X49_attention_check","trabajo_self","trabajo_other","zeros_SELF","zeros_OTHER","zeros_TOTAL","prop_omitidas_SELF","prop_omitidas_OTHER","prop_omitidas_TOTAL","proporcion_SELF","proporcion_OTHER","SELF_50","SELF_65","SELF_80","SELF_95","OTHER_50","OTHER_65","OTHER_80","OTHER_95"
"1","1304","Vulnerable",4,83.33,83.33,12.5,0,6.25,3,0,3,95.24,83.33,1,0.83,1,1,0.67,0.83,0.83,1
"2","3771","Vulnerable",NA,91.67,91.67,4.17,4.17,4.17,1,1,2,95.65,95.65,0.83,1,1,1,1,0.8,1,1
"3","4436","Vulnerable",NA,87.5,91.67,4.17,0,2.08,1,0,1,91.3,91.67,1,1,0.67,1,1,0.83,1,0.83
"4","2411","Vulnerable",4,75,75,16.67,20.83,18.75,4,5,9,90,94.74,1,1,0.6,1,0.83,1,1,1
"5","7047","Vulnerable",NA,79.17,83.33,20.83,16.67,18.75,5,4,9,100,100,1,1,1,1,1,1,1,1
"6","1423","Vulnerable",NA,95.83,95.83,4.17,0,2.08,1,0,1,100,95.83,1,1,1,1,1,0.83,1,1
"7","9585","Vulnerable",NA,100,100,0,0,0,0,0,0,100,100,1,1,1,1,1,1,1,1
"8","8228","Vulnerable",NA,87.5,50,0,0,0,0,0,0,87.5,50,0.83,0.83,1,0.83,0.83,0.5,0,0.67
"9","8604","Vulnerable",NA,83.33,95.83,16.67,4.17,10.42,4,1,5,100,100,1,1,1,1,1,1,1,1
"10","1019","Vulnerable",NA,100,4.17,0,8.33,4.16,0,2,2,100,4.55,1,1,1,1,0,0,0.17,0
"11","1252","Vulnerable",NA,83.33,83.33,4.17,4.17,4.17,1,1,2,86.96,86.96,1,0.83,1,0.67,1,0.83,1,0.67
"12","6469","Vulnerable",4,87.5,70.83,4.17,8.33,6.25,1,2,3,91.3,77.27,1,1,1,0.67,1,0.83,0.67,0.5
"13","7937","Vulnerable",NA,91.67,87.5,8.33,4.17,6.25,2,1,3,100,91.3,1,1,1,1,0.6,1,1,1
"14","3928","Vulnerable",NA,75,79.17,16.67,20.83,18.75,4,5,9,90,100,1,0.75,1,0.75,1,1,1,1
"15","9477","Vulnerable",4,79.17,75,20.83,25,22.91,5,6,11,100,100,1,1,1,1,1,1,1,1
"16","7512","Vulnerable",NA,79.17,91.67,20.83,8.33,14.58,5,2,7,100,100,1,1,1,1,1,1,1,1
"17","7875","Vulnerable",NA,100,83.33,0,16.67,8.34,0,4,4,100,100,1,1,1,1,1,1,1,1
"18","7389","Vulnerable",NA,95.83,83.33,0,16.67,8.34,0,4,4,95.83,100,1,1,1,0.83,1,1,1,1
"19","3210","Vulnerable",4,100,83.33,0,8.33,4.16,0,2,2,100,90.91,1,1,1,1,0.67,1,1,1
"20","6324","Vulnerable",4,100,37.5,0,25,12.5,0,6,6,100,50,1,1,1,1,0.8,0,0.6,0.4
"21","0974","Vulnerable",NA,54.17,58.33,20.83,8.33,14.58,5,2,7,68.42,63.64,0.83,0.83,0.67,0.25,1,1,0.5,0.17
"22","8251","Vulnerable",4,100,87.5,0,0,0,0,0,0,100,87.5,1,1,1,1,1,0.83,0.67,1
"23","1870","Vulnerable",NA,79.17,25,20.83,8.33,14.58,5,2,7,100,27.27,1,1,1,1,0.4,0.33,0.17,0.2
"24","6495","Control",4,91.67,75,4.17,12.5,8.34,1,3,4,95.65,85.71,1,1,1,0.83,1,0.8,1,0.6
"25","9593","Vulnerable",NA,83.33,95.83,4.17,4.17,4.17,1,1,2,86.96,100,0.8,1,0.83,0.83,1,1,1,1
"26","4241","Vulnerable",4,83.33,79.17,12.5,20.83,16.66,3,5,8,95.24,100,1,0.8,1,1,1,1,1,1
"27","2397","Control",4,62.5,45.83,4.17,4.17,4.17,1,1,2,65.22,47.83,0.83,0.67,0.67,0.4,1,0.5,0.2,0.17
"28","5835","Vulnerable",4,79.17,66.67,20.83,25,22.91,5,6,11,100,88.89,1,1,1,1,1,0.75,1,0.8
"29","8925","Vulnerable",NA,95.83,54.17,0,0,0,0,0,0,95.83,54.17,1,1,1,0.83,0.5,0.5,0.83,0.33
"30","3228","Vulnerable",4,95.83,87.5,0,4.17,2.08,0,1,1,95.83,91.3,1,1,0.83,1,0.83,0.83,1,1
"31","6644","Control",4,58.33,54.17,0,0,0,0,0,0,58.33,54.17,0.67,0.83,0.67,0.17,0.33,0.83,0.5,0.5
"32","3624","Control",4,58.33,41.67,12.5,4.17,8.34,3,1,4,66.67,43.48,0.83,0.67,0.75,0.4,0.67,0.5,0.2,0.33
"33","7107","Vulnerable",4,87.5,54.17,12.5,16.67,14.59,3,4,7,100,65,1,1,1,1,0.5,0.33,1,0.75
"34","0893","Vulnerable",4,100,100,0,0,0,0,0,0,100,100,1,1,1,1,1,1,1,1
"35","6707","Vulnerable",NA,91.67,91.67,8.33,8.33,8.33,2,2,4,100,100,1,1,1,1,1,1,1,1
"36","3103","Vulnerable",4,87.5,58.33,0,16.67,8.34,0,4,4,87.5,70,1,0.83,0.83,0.83,1,0.5,0.83,0.4
"37","2431","Vulnerable",4,100,54.17,0,12.5,6.25,0,3,3,100,61.9,1,1,1,1,0.6,0.4,0.6,0.83
"38","4961","Vulnerable",NA,83.33,70.83,16.67,20.83,18.75,4,5,9,100,89.47,1,1,1,1,1,0.8,1,0.83
"39","5822","Vulnerable",4,100,100,0,0,0,0,0,0,100,100,1,1,1,1,1,1,1,1
"40","3178","Vulnerable",NA,83.33,95.83,4.17,0,2.08,1,0,1,86.96,95.83,1,0.83,0.83,0.83,1,0.83,1,1
"41","9620","Vulnerable",4,95.83,91.67,0,4.17,2.08,0,1,1,95.83,95.65,0.83,1,1,1,1,1,1,0.83
"42","8704","Control",4,91.67,75,4.17,4.17,4.17,1,1,2,95.65,78.26,1,1,1,0.83,1,0.83,0.83,0.4
"43","5654","Control",4,100,33.33,0,12.5,6.25,0,3,3,100,38.1,1,1,1,1,1,0.17,0,0.2
"44","4625","Vulnerable",4,37.5,37.5,0,20.83,10.41,0,5,5,37.5,47.37,0.67,0.17,0.33,0.33,0.5,0.25,0.6,0.5
"45","7772","Control",4,75,79.17,8.33,4.17,6.25,2,1,3,81.82,82.61,0.83,1,0.83,0.6,0.67,1,0.83,0.83
"46","5273","Vulnerable",4,87.5,87.5,4.17,4.17,4.17,1,1,2,91.3,91.3,1,0.83,0.8,1,1,0.83,1,0.83
"47","4046","Control",NA,95.83,95.83,4.17,0,2.08,1,0,1,100,95.83,1,1,1,1,0.83,1,1,1
"48","6246","Vulnerable",4,95.83,8.33,4.17,0,2.08,1,0,1,100,8.33,1,1,1,1,0.17,0,0.17,0
"49","1499","Control",4,87.5,45.83,4.17,8.33,6.25,1,2,3,91.3,50,1,0.83,0.83,1,0.83,0,0.5,0.5
"50","7927","Control",NA,95.83,91.67,4.17,8.33,6.25,1,2,3,100,100,1,1,1,1,1,1,1,1
"51","1363","Control",NA,66.67,62.5,0,16.67,8.34,0,4,4,66.67,75,0.67,0.67,0.67,0.67,0.83,0.83,0.5,0.75
"52","0155","Control",4,100,87.5,0,4.17,2.08,0,1,1,100,91.3,1,1,1,1,1,1,0.83,0.83
"53","4164","Control",4,66.67,87.5,8.33,12.5,10.41,2,3,5,72.73,100,0.83,0.5,0.8,0.8,1,1,1,1
"54","6121","Control",NA,100,91.67,0,8.33,4.16,0,2,2,100,100,1,1,1,1,1,1,1,1
"55","4231","Control",4,100,66.67,0,12.5,6.25,0,3,3,100,76.19,1,1,1,1,0.8,0.83,0.6,0.8
"56","2854","Control",4,100,100,0,0,0,0,0,0,100,100,1,1,1,1,1,1,1,1
"57","2803","Control",4,45.83,16.67,0,0,0,0,0,0,45.83,16.67,1,0.5,0.33,0,0.67,0,0,0
"58","8987","Control",4,87.5,87.5,4.17,0,2.08,1,0,1,91.3,87.5,1,0.83,1,0.83,0.67,1,0.83,1
"59","5918","Control",4,62.5,20.83,0,0,0,0,0,0,62.5,20.83,1,0.83,0.33,0.33,0.67,0.17,0,0
"60","5113","Control",4,100,4.17,0,4.17,2.08,0,1,1,100,4.35,1,1,1,1,0.17,0,0,0
"61","6335","Control",4,100,95.83,0,0,0,0,0,0,100,95.83,1,1,1,1,1,1,0.83,1
"62","5156","Control",4,100,83.33,0,4.17,2.08,0,1,1,100,86.96,1,1,1,1,1,0.83,0.83,0.8
"63","8949","Control",4,70.83,70.83,0,4.17,2.08,0,1,1,70.83,73.91,0.5,0.67,0.83,0.83,0.8,1,0.83,0.33
"64","9045","Control",4,70.83,58.33,0,4.17,2.08,0,1,1,70.83,60.87,0.67,0.67,0.67,0.83,0.5,0.83,0.5,0.6
"65","4920","Control",NA,95.83,95.83,4.17,4.17,4.17,1,1,2,100,100,1,1,1,1,1,1,1,1
"66","7803","Control",4,58.33,58.33,0,0,0,0,0,0,58.33,58.33,0.5,0.67,0.67,0.5,0.83,0.67,0.5,0.33
"67","3472","Control",4,95.83,95.83,4.17,0,2.08,1,0,1,100,95.83,1,1,1,1,1,1,1,0.83
"68","0066","Control",4,70.83,70.83,25,4.17,14.59,6,1,7,94.44,73.91,1,1,0.75,1,0.8,0.83,0.5,0.83
"69","6604","Control",NA,100,100,0,0,0,0,0,0,100,100,1,1,1,1,1,1,1,1
"70","6332","Vulnerable",4,95.83,20.83,0,4.17,2.08,0,1,1,95.83,21.74,1,1,0.83,1,0.17,0.17,0.17,0.4
"71","6397","Control",NA,95.83,95.83,4.17,4.17,4.17,1,1,2,100,100,1,1,1,1,1,1,1,1
"72","9779","Control",4,83.33,75,4.17,4.17,4.17,1,1,2,86.96,78.26,0.67,1,0.83,1,1,0.83,0.83,0.4
"73","5495","Control",4,95.83,50,4.17,12.5,8.34,1,3,4,100,57.14,1,1,1,1,0.5,0.67,0.67,0.5
"74","2998","Control",4,75,33.33,0,0,0,0,0,0,75,33.33,0.67,0.83,0.83,0.67,0.5,0.33,0.17,0.33
"75","1867","Control",NA,33.33,62.5,4.17,0,2.08,1,0,1,34.78,62.5,0.5,0.17,0.6,0.17,0.67,0.67,0.83,0.33
"76","1126","Control",4,87.5,70.83,12.5,25,18.75,3,6,9,100,94.44,1,1,1,1,1,0.8,1,1
"77","2690","Control",4,91.67,58.33,4.17,4.17,4.17,1,1,2,95.65,60.87,1,0.83,1,1,0.6,0.67,0.67,0.5
"78","7656","Control",4,100,20.83,0,12.5,6.25,0,3,3,100,23.81,1,1,1,1,0.4,0.2,0.4,0
"79","0332","Vulnerable",4,100,62.5,0,12.5,6.25,0,3,3,100,71.43,1,1,1,1,0.67,0.8,0.4,1
"80","2959","Control",4,87.5,41.67,8.33,12.5,10.41,2,3,5,95.45,47.62,0.83,1,1,1,0.33,0.5,0.5,0.6
"81","5096","Vulnerable",4,100,100,0,0,0,0,0,0,100,100,1,1,1,1,1,1,1,1
"82","9203","Control",4,100,100,0,0,0,0,0,0,100,100,1,1,1,1,1,1,1,1
"83","0548","Control",NA,95.83,95.83,4.17,4.17,4.17,1,1,2,100,100,1,1,1,1,1,1,1,1
"84","9350","Control",NA,100,100,0,0,0,0,0,0,100,100,1,1,1,1,1,1,1,1
"85","2899","Control",4,91.67,41.67,8.33,20.83,14.58,2,5,7,100,52.63,1,1,1,1,0.4,0.67,0.25,0.75
"86","6055","Control",4,95.83,87.5,0,4.17,2.08,0,1,1,95.83,91.3,1,1,1,0.83,1,0.8,0.83,1
"87","1083","Vulnerable",4,75,66.67,0,8.33,4.16,0,2,2,75,72.73,1,1,0.67,0.33,1,1,0.8,0
"88","3965","Control",4,91.67,54.17,4.17,0,2.08,1,0,1,95.65,54.17,1,1,1,0.8,0.67,0.17,0.67,0.67
